Loading configuration : configs/config-2.1.txt
Reading file
Created Node 0: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20ClientSW
Created Node 1: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20Server
Added link to node 0 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.0 up
Added link to node 1 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.0 up

simulation starts - first processing step with clock = 0

log: FT20-ClientSW time 0 node 0 SENDING: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 20 node 1 GOT: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 20 node 1 SENDING: ACK<0, 0, 0>
log: FT20-ClientSW time 40 node 0 GOT: ACK<0, 0, 0>
log: FT20-ClientSW time 40 node 0 SENDING: DATA<1, 40, len: 1000>
log:    FT20-Server time 64 node 1 GOT: DATA<1, 40, len: 1000>
log:    FT20-Server time 64 node 1 SENDING: ACK<1, 1, 40>
log: FT20-ClientSW time 84 node 0 GOT: ACK<1, 1, 40>
log: FT20-ClientSW time 84 node 0 SENDING: DATA<2, 84, len: 1000>
log:    FT20-Server time 108 node 1 GOT: DATA<2, 84, len: 1000>
log:    FT20-Server time 108 node 1 SENDING: ACK<2, 2, 84>
log: FT20-ClientSW time 128 node 0 GOT: ACK<2, 2, 84>
log: FT20-ClientSW time 128 node 0 SENDING: DATA<3, 128, len: 1000>
log:    FT20-Server time 152 node 1 GOT: DATA<3, 128, len: 1000>
log:    FT20-Server time 152 node 1 SENDING: ACK<3, 3, 128>
log: FT20-ClientSW time 172 node 0 GOT: ACK<3, 3, 128>
log: FT20-ClientSW time 172 node 0 SENDING: DATA<4, 172, len: 1000>
log: FT20-ClientSW time 1172 node 0 TIMEOUT...
log: FT20-ClientSW time 1172 node 0 SENDING: DATA<4, 1172, len: 1000>
log:    FT20-Server time 1196 node 1 GOT: DATA<4, 1172, len: 1000>
log:    FT20-Server time 1196 node 1 SENDING: ACK<4, 4, 1172>
log: FT20-ClientSW time 1216 node 0 GOT: ACK<4, 4, 1172>
log: FT20-ClientSW time 1216 node 0 SENDING: DATA<5, 1216, len: 1000>
log:    FT20-Server time 1240 node 1 GOT: DATA<5, 1216, len: 1000>
log:    FT20-Server time 1240 node 1 SENDING: ACK<5, 5, 1216>
log: FT20-ClientSW time 1260 node 0 GOT: ACK<5, 5, 1216>
log: FT20-ClientSW time 1260 node 0 SENDING: DATA<6, 1260, len: 1000>
log:    FT20-Server time 1284 node 1 GOT: DATA<6, 1260, len: 1000>
log:    FT20-Server time 1284 node 1 SENDING: ACK<6, 6, 1260>
log: FT20-ClientSW time 1304 node 0 GOT: ACK<6, 6, 1260>
log: FT20-ClientSW time 1304 node 0 SENDING: DATA<7, 1304, len: 1000>
log: FT20-ClientSW time 2304 node 0 TIMEOUT...
log: FT20-ClientSW time 2304 node 0 SENDING: DATA<7, 2304, len: 1000>
log:    FT20-Server time 2328 node 1 GOT: DATA<7, 2304, len: 1000>
log:    FT20-Server time 2328 node 1 SENDING: ACK<7, 7, 2304>
log: FT20-ClientSW time 2348 node 0 GOT: ACK<7, 7, 2304>
log: FT20-ClientSW time 2348 node 0 SENDING: DATA<8, 2348, len: 1000>
log:    FT20-Server time 2372 node 1 GOT: DATA<8, 2348, len: 1000>
log:    FT20-Server time 2372 node 1 SENDING: ACK<8, 8, 2348>
log: FT20-ClientSW time 2392 node 0 GOT: ACK<8, 8, 2348>
log: FT20-ClientSW time 2392 node 0 SENDING: DATA<9, 2392, len: 1000>
log:    FT20-Server time 2416 node 1 GOT: DATA<9, 2392, len: 1000>
log:    FT20-Server time 2416 node 1 SENDING: ACK<9, 9, 2392>
log: FT20-ClientSW time 2436 node 0 GOT: ACK<9, 9, 2392>
log: FT20-ClientSW time 2436 node 0 SENDING: DATA<10, 2436, len: 1000>
log:    FT20-Server time 2460 node 1 GOT: DATA<10, 2436, len: 1000>
log:    FT20-Server time 2460 node 1 SENDING: ACK<10, 10, 2436>
log: FT20-ClientSW time 2480 node 0 GOT: ACK<10, 10, 2436>
log: FT20-ClientSW time 2480 node 0 SENDING: DATA<11, 2480, len: 1000>
log:    FT20-Server time 2504 node 1 GOT: DATA<11, 2480, len: 1000>
